Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,我佮你平躼。,Guá kah lí pênn lò.
,你佮伊仝款躼。,Lí kah i kāng-khuán lò.
,In兩个平平50 khí-looh。,In nn̄g ê pênn-pênn gōo-tsa̍p khí-looh.
,伊佮阿美仔平平十八歲。,I kah A-bí--á pênn-pênn tsa̍p-peh huè.
,你有伊的兩倍巧。,Lí ū i ê nn̄g puē khiáu.
,你有伊遐用功。,Lí ū i hiah iōng-kong.
,你無伊的三成巧。,Lí bô i ê sann siânn khiáu.
,你無伊遐歹心。,Lí bô i hiah pháinn-sim.
,你親像（tshan-tshiūnn）豬遮大箍。,Lí tshin-tshiūnn ti tsiah tuā-khoo.
,這目睭親像（tshan-tshiūnn）阿娘遮大蕊。,Tsit ba̍k-tsiu tshin-tshiūnn a-niâ tsiah tuā luí.
,我的心就親像（tshan-tshiūnn）冰遐爾冷。,Guá ê sim tō tshin-tshiūnn ping hiah-nī líng.
,烏面抐桮比厝鳥仔較大隻。,Oo-bīn-lā-pue pí tshù-tsiáu-á khah tuā tsiah.
,苦楝舅比sa-khú-lah閣較好種。,Khóo-līng-kū pí sa-khú-lah koh-khah hó tsìng.
,鹿仔樹比樟仔發了較密。,Lo̍k-á-tshiū pí tsiunn-á huat-liáu khah ba̍t.
,電鍋炊比gá-suh爐利便。,Tiān-ko tshue pí gá-suh-lôo lī-piān.
,駛車無比坐火車閣較俗。,Sái-tshia bû-pí tsē-hué-tshia koh khah sio̍k.
,珊瑚礁無比海草礁生了較慢。,Suan-ôo-tsiau bô pí hái-tsháu-ta senn-liáu khah bān.
,蛇龜走無比蛇緊。,Tsuâ-ku tsáu bû-pí tsuâ kín.
,蚵仔比螺仔較貴。,Ô-á pí lê-á khah-kuì.
,魚仔比軟絲仔泅較緊。,Hî-á pí nńg-si-á siû khah kín.
,市仔賣的袂比超市閣較俗。,Tshī-á bē--ê bē pí tshiau-tshī koh-khah sio̍h.
,蝶仔袂比鳥仔飛較遠。,Ia̍h-á bē pí tsiáu-á pue khah hn̄g.
,馬仔走比羊仔緊。,Bé-á tsáu pí iûnn-á kín.
,豬仔食無比牛濟。,Ti-á tsia̍h bû pí gû tsē.
,你今仔日比其他同學閣較早來學校。,Lí kin-á-ji̍t pí kî-thann tông-o̍h koh-khah tsá lâi ha̍k-hāu.
,你躼過伊。,Lí lò-kuè i.
,行路慢過坐車。,Kiânn-lōo bān-kuè tsē tshia.
,行路袂慢過坐車。,Kiânn-lōo bē bān-kuè tsē tshia.
,這蕊花媠過任何的花草。,Tsit luí hue suí-kuè jīm-hô ê hue-tsháu.
,這位小姐媠過任何人。,Tsit uī sió-tsiá suí-kuè jīm-hô-lâng.
,一座山懸過一座山。,Tsi̍t tsō suann kuân-kuè tsi̍t tsō suann.
,我躼伊差不多兩公分。,Guá lò i tsha-put-to nn̄g kong-hun.
,大姊加我無幾歲。,Tuā-tsí ke guá bô kuí huè.
,伊減以早一屑仔爾爾。,I kiám í-tsá tsi̍t-sut-á niā-niā.
,我開的錢佮阿姐平濟。,Guá khai ê tsînn kah a tsiá pênn tsē.
,你頭殼有伊遐爾好就好。,Lí thâu-khak ū i hiah-nī-hó tō hó.
,你有伊的頭殼遐爾精光就好。,Lí ū i ê thâu-khak hiah-nī tsing-kong tō hó.
,伊比啥人（siáng）攏緊張。,I pí siáng lóng kín-tiunn.
,伊比啥人攏貧惰。,I pí siánn-lâng lóng pîn-tuānn.
,你看你（lí#），人比你gâu講話，嘛小綴人學一下。,"Lí khuànn lí#, lâng pí lí gâu kóng-uē, mā sió tuè lâng o̍h--tsi̍t-ē."
,阿安比阿發加蓋儉。,A-an pí A-huat ke kài khiām.
,阿秀仔比阿嬌姨加真媠。,A-siù--á pí A-kiau-î ke tsin suí.
,阿發加比阿成兩光濟囉。,A-huat ke pí a-sîng lióng-kong tsē--looh.
,這齣戲較無頭先的彼齣遐悲傷。,Tsit tshut hì khah bô thâu-sing ê hit tshut hiah pi-siong.
,伊離緣了後比離緣進前加偌樂暢。,I lī-iân liáu-āu pí lī-iân tsìn-tsîng ke guā lo̍k-thiòng.
,佮彼站比，這陣日子加偌（luā）幸福咧。,"Kah hit-tsām pí, tsit-tsūn ji̍t-tsí ke luā hīng-hok--leh."
,阿好加阿財2公斤重爾爾。,A-hó ke A-tsâi nn̄g kong-kin tāng niā-niā.
,今仔日較袂寒。,Kin-á-ji̍t khah bē kuânn.
,明仔載變閣較熱。,Bîn-á-tsài piàn koh-khah jua̍h.
,今年較慢寒。,Kin-nî kah bān kuânn.
,舊年寒較久。,Kū-nî kuânn khah kú.
,查某比查埔加四倍。,Tsa-bóo pí ta-poo ke sì puē.
,賣的比買的加一半。,Bē--ê pí bé--ê ke tsi̍t-puànn.
,老歲仔贊聲的比少年人減六十七pha。,Lāu-huè-á tsàn-siann--ê pí siàu-liân-lâng kiám la̍k-tsa̍p-tshit pha.
,趁的公司比了的公司減一成。,Thàn ê kong-si pí liáu ê kong-si kiám tsi̍t siânn.
