Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 27, 2018 1_267.wav",我佮你平躼。,Guá kah lí pênn lò.,,
"Oct 27, 2018 1_268.wav",你佮伊仝款躼。,Lí kah i kāng-khuán lò.,,
"Oct 27, 2018 1_269.wav",In兩个平平50 khí-looh。,In nn̄g ê pênn-pênn gōo-tsa̍p khí-looh.,,
"Oct 27, 2018 1_270.wav",伊佮阿美仔平平仔十八歲。,I kah A-bí--á pênn-pênn-á tsa̍p-peh huè.,,
"Oct 27, 2018 1_271.wav",你有伊的兩倍巧。,Lí ū i ê nn̄g puē khiáu.,,
"Oct 27, 2018 1_272.wav",你有伊遐用功。,Lí ū i hiah iōng-kong.,,
"Oct 27, 2018 1_273.wav",你有伊遐拍拼。,Lí ū i hiah phah phing.,,
"Oct 27, 2018 1_274.wav",你無伊的三成巧。,Lí bô i ê sann siânn khiáu.,,
"Oct 27, 2018 1_275.wav",你無伊遐歹心。,Lí bô i hiah pháinn-sim.,,
"Oct 27, 2018 1_276.wav",你親像（tshan-tshiūnn）豬遮大箍。,Lí tshin-tshiūnn ti tsiah tuā-khoo.,,
"Oct 27, 2018 1_277.wav",這目睭親像（tshan-tshiūnn）阿姨遮大蕊。,Tse ba̍k-tsiu tshin-tshiūnn a-î tsiah tuā luí.,,
"Oct 27, 2018 1_278.wav",我的心就親像（tshan-tshiūnn）冰遐爾冷。,Guá ê sim tō tshin-tshiūnn ping hiah-nī líng.,,
"Oct 27, 2018 1_279.wav",烏面抐桮比厝角鳥較大隻。,Oo-bīn-lā-pue pí tshù-kak-tsiáu khah tuā tsiah.,,
"Oct 27, 2018 1_280.wav",苦楝舅比sa-khú-lah閣較好種。,Khóo-līng-kū pí sa-khú-lah koh-khah hó tsìng.,,
"Oct 27, 2018 1_281.wav",鹿仔樹比樟仔發了較密。,Lo̍k-á-tshiū pí tsiunn-á huat-liáu khah ba̍t.,,
"Oct 27, 2018 1_282.wav",電鍋炊比gá-suh爐利便。,Tiān-ko tshue pí gá-suh-lôo lī-piān.,,
"Oct 27, 2018 1_283.wav",駛車無比坐火車閣較俗。,Sái-tshia bû-pí tsē-hué-tshia koh khah sio̍k.,,
"Oct 27, 2018 1_284.wav",珊瑚礁無比海草礁生了較慢。,Suan-ôo-tsiau bô pí hái-tsháu-ta senn-liáu khah bān.,,
"Oct 27, 2018 1_285.wav",蛇龜走無比蛇緊。,Tsuâ-ku tsáu bû-pí tsuâ kín.,,
"Oct 27, 2018 1_286.wav",蚵仔比螺仔較貴。,Ô-á pí lê-á khah-kuì.,,
"Oct 27, 2018 1_287.wav",魚仔比軟絲仔泅較緊。,Hî-á pí nńg-si-á siû khah kín.,,
"Oct 27, 2018 1_288.wav",市仔賣的袂比超市閣較俗。,Tshī-á bē--ê bē pí tshiau-tshī koh-khah sio̍h.,,
"Oct 27, 2018 1_289.wav",蝶仔袂比鳥仔飛較遠。,Ia̍h-á bē pí tsiáu-á pue khah hn̄g.,,
"Oct 27, 2018 1_290.wav",馬仔走比羊仔緊。,Bé-á tsáu pí iûnn-á kín.,,
"Oct 27, 2018 1_291.wav",豬仔食無比牛濟。,Ti-á tsia̍h bû pí gû tsē.,,
"Oct 27, 2018 1_292.wav",你今仔日比其他同學閣較早來學校。,Lí kin-á-ji̍t pí kî-thann tông-o̍h koh-khah tsá lâi ha̍k-hāu.,,
"Oct 27, 2018 1_293.wav",你躼過伊。,Lí lò-kuè i.,,
"Oct 27, 2018 1_294.wav",行路慢過坐車。,Kiânn-lōo bān-kuè tsē tshia.,,
"Oct 27, 2018 1_295.wav",行路袂慢過坐車。,Kiânn-lōo bē bān-kuè tsē tshia.,,
