"理由","頭四字","句編號","新音檔所在"
"攔頭的攔應該是nua5；譴khian3應該念本調","若以早我",864,"Mar 16, 2019_220.wav"
"攔頭的攔應該是nua5-thau5","頭前講為",873,"Mar 16, 2019_221.wav"
"益應該是iah愛變調","益素花仔",923,"Mar 16, 2019_222.wav"
"益應該是iah愛變調","益素花仔",920,"Mar 16, 2019_223.wav"
"益應該是iah愛變調","當伊共in",930,"Mar 16, 2019_224.wav"
"攻擊的攻應該是kong","地方的核",1360,"Mar 16, 2019_225.wav"
"氣候的候應該是hau7","總是，以",1436,"Mar 16, 2019_226.wav"
"攻擊的攻應該是kong","舉例來講",2172,"Mar 16, 2019_227.wav"
"教訓的訓應該是 hun3","八百空四",2192,"Mar 16, 2019_228.wav"
"教訓的訓應該是 hun3","人類敢真",2193,"Mar 16, 2019_229.wav"
"序應該是 su7","序詩一",2221,"Mar 16, 2019_230.wav"
"地藏的藏應該是tsong5","他界次壞",2278,"Mar 16, 2019_231.wav"
"迷應該是bê","九、忘憂森林",2231,"Mar 16, 2019_232.wav"
