Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,對山彼爿面一路迵過雺煙罩霧peh甲怦怦喘，,"Uì suann hit pîng bīn tsi̍t-lōo thàng-kuè bông-ian-tà-bū peh kah  phēnn-phēnn-tshuán,"
,透暝猶未peh上天頂的日頭，,"thàu-mê iáu-buē peh tsiūnn thinn-tíng ê ji̍t-thâu,"
,煞雄雄跋落稻埕，,"suah hiông-hiông pua̍h-lo̍h tiū-tiânn,"
,摔甲塗跤光鑠鑠。,siak kah thôo-kha kng-sih-sih.
,摔袂疼的貓霧仔光隨迒過戶橂，,"Siak bē thiànn ê bâ-bū-á-kng suî hānn-kuè hōo-tīng,"
,軁過門縫，,"nǹg-kuè mn̂g-phāng,"
,無聲無說就趖入阿福嬸的房間。,bô-siann-bô-sueh tō sô-ji̍p A-hok-tsím ê pâng-king.
,「天光矣！」,“Thinn-kng --ah!”
,感覺著目睭前烏趖趖的色水若親像淡薄仔退色，,"Kám-kak tio̍h ba̍k-tsiu tsîng oo-sô-sô ê sik-tsuí ná tshin-tshiūnn tām-po̍h-á thè-sik,"
,嘛鼻著透早時仔露水散發的清芳，,"mā phīnn-tio̍h thàu-tsá-sî-á lōo-tsuí sàn-huat ê tshing-phang,"
,和早前相siāng，,"hām tsá-tsîng sio-siāng,"
,阿福嬸袂著急將目睭擘金，,"A-hok-tsím bē tio̍h-kip tsiong ba̍k-tsiu peh-kim,"
,恬恬仔聽著外口風一陣陣吹過稻埕，,"tiām-tiām-á thiann-tio̍h guā-kháu hong tsi̍t-tsūn-tsūn tshue-kuè tiū-tiânn,"
,共散甲一四界的樹葉、砂粒仔佮粗糠幼仔吹來掃去的聲音，,"kā suànn kah tsi̍t-sì-kè ê tshiū-hio̍h, sua-lia̍p-á kah tshoo-khng iù-á tshue lâi sàu khì ê siann-im,"
,親像行來踅去的跤步聲。,tshin-tshiūnn kiânn lâi se̍h khì ê kha-pōo siann.
,阿福嬸就按呢一直聽的，,"A-hok-tsím tsiū-án-ne it-ti̍t thiann ê,"
,聽的，,"thiann ê,"
,偌濟沓沓滴滴的往事就窸窸窣窣搢入頭殼底，,"guā-tsē ta̍p-ta̍p-tih-tih ê óng-sū tō si-si-su̍t-su̍t tsìnn-ji̍p thâu-khak-té,"
,行踏出一逝又閣一逝記憶的痕跡，,"kiânn-ta̍h tshut tsi̍t tsuā iū-koh tsi̍t tsuā kì-ik ê hûn-jiah,"
,再三提醒阿福嬸,tsài-sann thê-tshénn A-hok-tsím
,──人生這條路，猶真久長。,"── jîn-sing tsit tiâu lōo, iáu tsin kú-tn̂g."
